2024-02-01 20:52:54,096 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 51152, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-01 20:53:16,240 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 34596, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-01 20:53:35,192 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 37012, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-01 20:53:54,245 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 60296, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-01 20:56:40,898 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 41882, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-01 21:01:03,142 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 37348, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-01 22:01:55,389 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 51332, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-01 22:02:44,363 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 38628, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-01 22:05:28,509 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 48372, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-01 22:09:09,557 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 33860, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-01 22:15:21,244 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 52802, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-01 22:15:24,886 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 49540, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-01 22:21:56,632 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 40918, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-01 22:37:48,334 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 43288, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-01 22:38:25,728 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 36228, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-02 03:32:46,672 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 40358, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-02 03:38:24,744 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 44142, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
2024-02-02 03:47:41,287 - 공격 타입: XSS, 소스 IP: 10.1.1.2, 목적지 IP: 93.184.216.34, 소스 포트: 55674, 목적지 포트: 80, 프로토콜: tcp, 공격 횟수: 1
